name,x,y,z,is_clock,is_input,is_output,iob,real_io_assoc
A16,186,19,0,1,1,1,IOB_X1Y132,True
A17,186,20,0,1,1,1,IOB_X1Y131,True
A18,186,21,0,1,1,1,IOB_X1Y130,True
A19,186,22,0,1,1,1,IOB_X1Y129,True
A21,186,32,0,1,1,1,IOB_X1Y120,True
A22,186,33,0,1,1,1,IOB_X1Y119,True
AA4,2,145,0,1,1,1,IOB_X0Y13,True
AA6,2,137,0,1,1,1,IOB_X0Y21,True
AA7,2,136,0,1,1,1,IOB_X0Y22,True
AA8,2,130,0,1,1,1,IOB_X0Y27,True
AA9,2,129,0,1,1,1,IOB_X0Y28,True
AA11,2,123,0,1,1,1,IOB_X0Y34,True
AA12,2,121,0,1,1,1,IOB_X0Y36,True
AA13,186,155,0,1,1,1,IOB_X1Y3,True
AA14,186,153,0,1,1,1,IOB_X1Y5,True
AA16,186,144,0,1,1,1,IOB_X1Y14,True
AA17,186,142,0,1,1,1,IOB_X1Y16,True
AA18,186,132,0,1,1,1,IOB_X1Y25,True
AA19,186,130,0,1,1,1,IOB_X1Y27,True
AA21,186,123,0,1,1,1,IOB_X1Y34,True
AA22,186,121,0,1,1,1,IOB_X1Y36,True
AB1,2,139,0,1,1,1,IOB_X0Y19,True
AB2,2,138,0,1,1,1,IOB_X0Y20,True
AB4,2,141,0,1,1,1,IOB_X0Y17,True
AB5,2,140,0,1,1,1,IOB_X0Y18,True
AB6,2,143,0,1,1,1,IOB_X0Y15,True
AB7,2,142,0,1,1,1,IOB_X0Y16,True
AB9,2,126,0,1,1,1,IOB_X0Y31,True
AB10,2,125,0,1,1,1,IOB_X0Y32,True
AB11,2,124,0,1,1,1,IOB_X0Y33,True
AB12,2,122,0,1,1,1,IOB_X0Y35,True
AB14,186,156,0,1,1,1,IOB_X1Y2,True
AB15,186,157,0,1,1,1,IOB_X1Y1,True
AB16,186,145,0,1,1,1,IOB_X1Y13,True
AB17,186,143,0,1,1,1,IOB_X1Y15,True
AB19,186,127,0,1,1,1,IOB_X1Y30,True
AB20,186,128,0,1,1,1,IOB_X1Y29,True
AB21,186,124,0,1,1,1,IOB_X1Y33,True
AB22,186,122,0,1,1,1,IOB_X1Y35,True
B15,186,16,0,1,1,1,IOB_X1Y135,True
